epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.5112,0.93372,2.91392,1.31225,0.00635,1,0.72224,0.49489,0.65358,3.04082,0.99565,0.000444533,0.000444533,0.000444533
2,19.4158,0.8801,2.00996,1.23343,0.78998,0.35481,0.60951,0.37982,0.81712,2.74227,1.04687,0.00090118,0.00090118,0.00090118
3,23.9891,1.12208,2.14091,1.29085,0.9405,0.36111,0.65176,0.41778,0.99094,2.74751,1.13515,0.00124781,0.00124781,0.00124781
4,28.6158,1.04541,1.94878,1.25808,0.91879,0.44444,0.6705,0.48432,0.94584,2.43361,1.17969,0.0011719,0.0011719,0.0011719
5,33.2476,0.8423,1.58199,1.20291,0.96869,0.41582,0.81401,0.58018,1.03044,2.26624,1.29706,0.00100687,0.00100687,0.00100687
6,37.9066,0.89966,1.59516,1.1601,0.93175,0.38889,0.54962,0.40586,1.10713,2.51417,1.5532,0.000841835,0.000841835,0.000841835
7,42.4491,0.82523,1.50622,1.11492,0.92001,0.43782,0.76693,0.54811,0.93834,2.21022,1.23353,0.000676802,0.000676802,0.000676802
8,47.0263,0.75145,1.4149,1.08512,0.97688,0.38889,0.89167,0.63024,0.82757,2.17446,1.11121,0.000511769,0.000511769,0.000511769
9,51.6066,0.72703,1.39379,1.09422,0.75592,0.8483,0.91885,0.74019,0.6741,1.77661,0.9863,0.000346736,0.000346736,0.000346736
10,56.2042,0.67461,1.3568,1.07151,0.84101,0.9024,0.93164,0.75473,0.63309,1.69263,0.9618,0.000181703,0.000181703,0.000181703
